month,entry_datetime,symbol,direction,entry_price,result,net_pips,duration,duration_minutes,score,aggression_mode,reason_codes,decision_id,split,realized_R,gross_r,gross_pips
2020-03,2020-03-18 14:40:00+0000,EURUSD,SELL,1.09675,WIN,16.69831,20m,20.0,0.313518,normal,[score_normal],EURUSD-2020-03-18T14:40:00Z-000274,train,1.669831,2.0,20.0
2020-03,2020-03-18 17:35:00+0000,EURUSD,SELL,1.0872,WIN,17.815620000000003,10m,10.0,0.327962,normal,[score_normal],EURUSD-2020-03-18T17:35:00Z-000278,train,1.781562,2.0,20.0
2020-03,2020-03-18 17:55:00+0000,EURUSD,SELL,1.08546,WIN,16.58163,5m,5.0,0.216218,cautious,[score_cautious],EURUSD-2020-03-18T17:55:00Z-000280,train,1.658163,2.0,20.0
2020-03,2020-03-18 18:25:00+0000,EURUSD,SELL,1.08425,WIN,16.88564,30m,30.0,0.347607,normal,[score_normal],EURUSD-2020-03-18T18:25:00Z-000282,train,1.688564,2.0,20.0
2020-03,2020-03-18 18:55:00+0000,EURUSD,BUY,1.08176,LOSS,-12.372209999999999,5m,5.0,0.346875,normal,[score_normal],EURUSD-2020-03-18T18:55:00Z-000283,train,-1.237221,-1.0,-10.0
2020-03,2020-03-18 19:00:00+0000,EURUSD,BUY,1.08091,WIN,17.90441,30m,30.0,0.459866,premium,[score_premium],EURUSD-2020-03-18T19:00:00Z-000284,train,1.790441,2.0,20.0
2020-03,2020-03-18 19:30:00+0000,EURUSD,SELL,1.08333,LOSS,-13.225180000000002,20m,20.0,0.207222,cautious,[score_cautious],EURUSD-2020-03-18T19:30:00Z-000285,train,-1.322518,-1.0,-10.0
2020-03,2020-03-18 21:55:00+0000,EURUSD,BUY,1.08953,WIN,17.31142,1h 05m,65.0,0.401261,premium,[score_premium],EURUSD-2020-03-18T21:55:00Z-000286,train,1.731142,2.0,20.0
2020-03,2020-03-19 08:20:00+0000,EURUSD,SELL,1.09338,LOSS,-12.93278,20m,20.0,0.324435,normal,[score_normal],EURUSD-2020-03-19T08:20:00Z-000307,train,-1.293278,-1.0,-10.0
2020-03,2020-03-19 08:40:00+0000,EURUSD,SELL,1.09328,LOSS,-12.93542,10m,10.0,0.231471,cautious,[score_cautious],EURUSD-2020-03-19T08:40:00Z-000308,train,-1.293542,-1.0,-10.0
2020-03,2020-03-19 08:50:00+0000,EURUSD,SELL,1.09361,WIN,17.265919999999998,30m,30.0,0.472457,premium,[score_premium],EURUSD-2020-03-19T08:50:00Z-000309,train,1.726592,2.0,20.0
2020-03,2020-03-19 09:20:00+0000,EURUSD,SELL,1.09109,WIN,17.52449,10m,10.0,0.622541,premium,[score_premium],EURUSD-2020-03-19T09:20:00Z-000310,train,1.752449,2.0,20.0
2020-03,2020-03-19 09:30:00+0000,EURUSD,SELL,1.08915,WIN,16.7576,10m,10.0,0.738481,premium,[score_premium],EURUSD-2020-03-19T09:30:00Z-000311,train,1.67576,2.0,20.0
2020-03,2020-03-19 09:40:00+0000,EURUSD,SELL,1.08596,LOSS,-13.20475,5m,5.0,0.428265,premium,[score_premium],EURUSD-2020-03-19T09:40:00Z-000312,train,-1.320475,-1.0,-10.0
2020-03,2020-03-19 09:45:00+0000,EURUSD,SELL,1.08634,LOSS,-13.75764,5m,5.0,0.329777,normal,[score_normal],EURUSD-2020-03-19T09:45:00Z-000313,train,-1.375764,-1.0,-10.0
2020-03,2020-03-19 09:55:00+0000,EURUSD,SELL,1.08561,WIN,16.43532,15m,15.0,0.57099,premium,[score_premium],EURUSD-2020-03-19T09:55:00Z-000314,train,1.643532,2.0,20.0
2020-03,2020-03-19 10:10:00+0000,EURUSD,BUY,1.08253,LOSS,-12.9494,5m,5.0,0.477044,premium,[score_premium],EURUSD-2020-03-19T10:10:00Z-000315,train,-1.29494,-1.0,-10.0
2020-03,2020-03-19 10:15:00+0000,EURUSD,BUY,1.08147,WIN,16.84871,5m,5.0,0.657701,premium,[score_premium],EURUSD-2020-03-19T10:15:00Z-000316,train,1.684871,2.0,20.0
2020-03,2020-03-19 10:20:00+0000,EURUSD,SELL,1.08527,LOSS,-11.82869,5m,5.0,0.414952,premium,[score_premium],EURUSD-2020-03-19T10:20:00Z-000317,train,-1.182869,-1.0,-10.0
2020-03,2020-03-19 10:25:00+0000,EURUSD,SELL,1.08731,LOSS,-12.34612,5m,5.0,0.380435,normal,[score_normal],EURUSD-2020-03-19T10:25:00Z-000318,train,-1.234612,-1.0,-10.0
2020-03,2020-03-19 10:30:00+0000,EURUSD,SELL,1.08737,LOSS,-13.279639999999999,10m,10.0,0.368714,normal,[score_normal],EURUSD-2020-03-19T10:30:00Z-000319,train,-1.327964,-1.0,-10.0
2020-03,2020-03-19 10:40:00+0000,EURUSD,SELL,1.08706,LOSS,-12.490639999999999,5m,5.0,0.374129,normal,[score_normal],EURUSD-2020-03-19T10:40:00Z-000320,train,-1.249064,-1.0,-10.0
2020-03,2020-03-19 10:45:00+0000,EURUSD,SELL,1.08864,WIN,16.34328,10m,10.0,0.590581,premium,[score_premium],EURUSD-2020-03-19T10:45:00Z-000321,train,1.634328,2.0,20.0
2020-03,2020-03-19 10:55:00+0000,EURUSD,SELL,1.08605,WIN,17.67172,5m,5.0,0.688386,premium,[score_premium],EURUSD-2020-03-19T10:55:00Z-000322,train,1.767172,2.0,20.0
2020-03,2020-03-19 11:00:00+0000,EURUSD,BUY,1.08375,WIN,16.21299,15m,15.0,0.592506,premium,[score_premium],EURUSD-2020-03-19T11:00:00Z-000323,train,1.621299,2.0,20.0
2020-03,2020-03-19 11:25:00+0000,EURUSD,SELL,1.08501,LOSS,-13.189979999999998,10m,10.0,0.338773,normal,[score_normal],EURUSD-2020-03-19T11:25:00Z-000324,train,-1.318998,-1.0,-10.0
