month,scenario,lot,date,balance_usd,peak_usd,drawdown_usd,drawdown_pct,daily_pnl_usd
2020-09,cluster_only_3sl,0.6,2020-09-09,101322.76,101322.76,0.0,0.0,326.84
2020-09,cluster_only_3sl,0.6,2020-09-10,101723.08,101723.08,0.0,0.0,400.32
2020-09,cluster_only_3sl,0.6,2020-09-11,102192.33,102192.33,0.0,0.0,469.24
2020-09,cluster_only_3sl,0.6,2020-09-15,102296.77,102296.77,0.0,0.0,104.44
2020-09,cluster_only_3sl,0.6,2020-09-16,102367.29,102367.29,0.0,0.0,70.52
2020-09,cluster_only_3sl,0.6,2020-09-17,102825.53,102825.53,0.0,0.0,458.24
2020-09,cluster_only_3sl,0.6,2020-09-18,102904.77,102904.77,0.0,0.0,79.23
2020-09,cluster_only_3sl,0.6,2020-09-22,103261.01,103261.01,0.0,0.0,356.24
2020-09,cluster_only_3sl,0.6,2020-09-23,103560.29,103560.29,0.0,0.0,299.28
2020-09,cluster_only_3sl,0.6,2020-09-24,103862.47,103862.47,0.0,0.0,302.18
2020-09,cluster_only_3sl,0.6,2020-09-25,104212.26,104212.26,0.0,0.0,349.79
2020-09,cluster_only_3sl,0.6,2020-09-29,104472.03,104472.03,0.0,0.0,259.77
2020-09,cluster_only_3sl,0.6,2020-09-30,104575.03,104575.03,0.0,0.0,103.0
2020-09,cluster_only_3sl,1.0,2020-09-01,99963.86,100000.0,36.14,0.000361,-36.14
2020-09,cluster_only_3sl,1.0,2020-09-02,100714.01,100714.01,0.0,0.0,750.15
2020-09,cluster_only_3sl,1.0,2020-09-03,101751.3,101751.3,0.0,0.0,1037.29
2020-09,cluster_only_3sl,1.0,2020-09-04,101620.93,101751.3,130.38,0.001304,-130.38
2020-09,cluster_only_3sl,1.0,2020-09-08,101659.86,101751.3,91.44,0.000914,38.93
2020-09,cluster_only_3sl,1.0,2020-09-09,102204.6,102204.6,0.0,0.0,544.74
2020-09,cluster_only_3sl,1.0,2020-09-10,102871.8,102871.8,0.0,0.0,667.2
2020-09,cluster_only_3sl,1.0,2020-09-11,103653.88,103653.88,0.0,0.0,782.07
2020-09,cluster_only_3sl,1.0,2020-09-15,103827.94,103827.94,0.0,0.0,174.07
2020-09,cluster_only_3sl,1.0,2020-09-16,103945.48,103945.48,0.0,0.0,117.54
2020-09,cluster_only_3sl,1.0,2020-09-17,104709.22,104709.22,0.0,0.0,763.74
2020-09,cluster_only_3sl,1.0,2020-09-18,104841.28,104841.28,0.0,0.0,132.06
2020-09,cluster_only_3sl,1.0,2020-09-22,105435.02,105435.02,0.0,0.0,593.73
2020-09,cluster_only_3sl,1.0,2020-09-23,105933.81,105933.81,0.0,0.0,498.8
2020-09,cluster_only_3sl,1.0,2020-09-24,106437.45,106437.45,0.0,0.0,503.64
2020-09,cluster_only_3sl,1.0,2020-09-25,107020.43,107020.43,0.0,0.0,582.98
2020-09,cluster_only_3sl,1.0,2020-09-29,107453.38,107453.38,0.0,0.0,432.95
2020-09,cluster_only_3sl,1.0,2020-09-30,107625.05,107625.05,0.0,0.0,171.67
2020-09,guardrails_completos,0.6,2020-09-01,99978.32,100000.0,21.68,0.000217,-21.68
2020-09,guardrails_completos,0.6,2020-09-02,100428.41,100428.41,0.0,0.0,450.09
2020-09,guardrails_completos,0.6,2020-09-03,101050.78,101050.78,0.0,0.0,622.38
2020-09,guardrails_completos,0.6,2020-09-04,100972.56,101050.78,78.23,0.000782,-78.23
2020-09,guardrails_completos,0.6,2020-09-08,100995.92,101050.78,54.87,0.000549,23.36
2020-09,guardrails_completos,0.6,2020-09-09,101322.76,101322.76,0.0,0.0,326.84
2020-09,guardrails_completos,0.6,2020-09-10,101723.08,101723.08,0.0,0.0,400.32
2020-09,guardrails_completos,0.6,2020-09-11,102118.55,102118.55,0.0,0.0,395.47
2020-09,guardrails_completos,0.6,2020-09-15,102222.99,102222.99,0.0,0.0,104.44
2020-09,guardrails_completos,0.6,2020-09-16,102293.51,102293.51,0.0,0.0,70.52
2020-09,guardrails_completos,0.6,2020-09-17,102751.76,102751.76,0.0,0.0,458.24
2020-09,guardrails_completos,0.6,2020-09-18,102722.89,102751.76,28.87,0.000289,-28.87
2020-09,guardrails_completos,0.6,2020-09-22,102873.62,102873.62,0.0,0.0,150.73
2020-09,guardrails_completos,0.6,2020-09-23,103172.89,103172.89,0.0,0.0,299.28
