group,scenario,month,entry_time,decision_id,symbol,direction,result_if_taken,r_if_taken,net_pips_if_taken,reason,cluster_id,cluster_consecutive_sl,daily_sl_count,session_sl_count,daily_drawdown_r,friday_risk,spread_deteriorated,safe_mode_active,blocked_until
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T12:50:00+00:00,EURUSD-2022-04-29T12:50:00Z-002708,EURUSD,SELL,WIN,1.632183,16.32183,friday_2sl_safe_mode,115,1,2,1,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T14:15:00+00:00,EURUSD-2022-04-29T14:15:00Z-002709,EURUSD,SELL,LOSS,-1.312099,-13.12099,friday_2sl_safe_mode,115,1,2,1,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T14:30:00+00:00,EURUSD-2022-04-29T14:30:00Z-002710,EURUSD,SELL,WIN,1.679115,16.79115,friday_2sl_safe_mode,115,1,2,1,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T14:40:00+00:00,EURUSD-2022-04-29T14:40:00Z-002711,EURUSD,SELL,WIN,1.74286,17.4286,friday_2sl_safe_mode,115,1,2,1,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T17:00:00+00:00,EURUSD-2022-04-29T17:00:00Z-002712,EURUSD,BUY,LOSS,-1.374367,-13.74367,friday_after_12co_sl_today_gte_1,116,0,2,0,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T17:30:00+00:00,EURUSD-2022-04-29T17:30:00Z-002713,EURUSD,BUY,WIN,1.605462,16.05462,friday_after_12co_sl_today_gte_1,117,0,2,0,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T17:55:00+00:00,EURUSD-2022-04-29T17:55:00Z-002714,EURUSD,BUY,LOSS,-1.241273,-12.41273,friday_after_12co_sl_today_gte_1,118,0,2,0,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T18:30:00+00:00,EURUSD-2022-04-29T18:30:00Z-002715,EURUSD,BUY,WIN,1.753174,17.53174,friday_after_12co_sl_today_gte_1,119,0,2,0,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl1,2022-04,2022-04-29T21:00:00+00:00,EURUSD-2022-04-29T21:00:00Z-002716,EURUSD,SELL,WIN,1.735762,17.35762,friday_after_12co_sl_today_gte_1,120,0,2,0,2.605262,True,False,False,next_operational_day
stress_ex_2026_04,guardrails_v1_friday_sl2,2020-03,2020-03-10T08:10:00+00:00,EURUSD-2020-03-10T08:10:00Z-000106,EURUSD,SELL,WIN,1.728679,17.28679,cluster_2_consecutive_sl_block_180m,5,2,3,3,4.159276,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl2,2020-03,2020-03-10T08:35:00+00:00,EURUSD-2020-03-10T08:35:00Z-000107,EURUSD,SELL,LOSS,-1.431305,-14.31305,cluster_2_consecutive_sl_block_180m,5,2,3,3,4.159276,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl2,2020-03,2020-03-10T09:50:00+00:00,EURUSD-2020-03-10T09:50:00Z-000110,EURUSD,SELL,LOSS,-1.296936,-12.96936,cluster_2_consecutive_sl_block_180m,7,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl2,2020-03,2020-03-10T09:55:00+00:00,EURUSD-2020-03-10T09:55:00Z-000111,EURUSD,SELL,LOSS,-1.316899,-13.16899,cluster_2_consecutive_sl_block_180m,8,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
stress_ex_2026_04,guardrails_v1_friday_sl2,2020-03,2020-03-10T10:05:00+00:00,EURUSD-2020-03-10T10:05:00Z-000112,EURUSD,SELL,LOSS,-1.355797,-13.55797,cluster_2_consecutive_sl_block_180m,9,0,4,4,5.464044,False,False,False,2020-03-10T11:10:00+00:00
