variant,threshold,month,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_medium,0.40,2024-07,5000,558,0.1116,0.252688,0.190698,0.460938,0.438369,244.61,2.304239,55.0,"{""DO_NOTHING"": 4442, ""ENTER_BUY"": 430, ""ENTER_SELL"": 128}","{""DO_NOTHING"": 4219, ""ENTER_BUY"": 358, ""ENTER_SELL"": 423}",False
rich_policy_medium,0.40,2024-08,5188,640,0.123362,0.19375,0.203837,0.174888,0.054328,34.77,1.108456,100.43,"{""DO_NOTHING"": 4548, ""ENTER_BUY"": 417, ""ENTER_SELL"": 223}","{""DO_NOTHING"": 3684, ""ENTER_BUY"": 801, ""ENTER_SELL"": 703}",False
rich_policy_medium,0.40,2024-09,4613,709,0.153696,0.132581,0.186047,0.12069,-0.33055,-234.36,0.501478,290.64,"{""DO_NOTHING"": 3904, ""ENTER_BUY"": 129, ""ENTER_SELL"": 580}","{""DO_NOTHING"": 3223, ""ENTER_BUY"": 785, ""ENTER_SELL"": 605}",False
rich_policy_medium,0.40,2024-10,5476,1001,0.182798,0.241758,0.17284,0.288591,0.257123,257.38,1.614653,78.54,"{""DO_NOTHING"": 4475, ""ENTER_BUY"": 405, ""ENTER_SELL"": 596}","{""DO_NOTHING"": 4215, ""ENTER_BUY"": 427, ""ENTER_SELL"": 834}",False
rich_policy_medium,0.40,2024-11,4888,1898,0.388298,0.299262,0.314498,0.262206,0.039747,75.44,1.064432,283.61,"{""DO_NOTHING"": 2990, ""ENTER_BUY"": 1345, ""ENTER_SELL"": 553}","{""DO_NOTHING"": 2613, ""ENTER_BUY"": 1115, ""ENTER_SELL"": 1160}",False
rich_policy_medium,0.40,2024-12,4567,1251,0.273922,0.252598,0.251693,0.254795,0.022094,27.64,1.038569,160.66,"{""DO_NOTHING"": 3316, ""ENTER_BUY"": 886, ""ENTER_SELL"": 365}","{""DO_NOTHING"": 2761, ""ENTER_BUY"": 914, ""ENTER_SELL"": 892}",False
rich_policy_medium,0.40,2025-01,4844,1783,0.368084,0.255749,0.264014,0.242245,-0.067902,-121.07,0.892305,197.59,"{""DO_NOTHING"": 3061, ""ENTER_BUY"": 1106, ""ENTER_SELL"": 677}","{""DO_NOTHING"": 2821, ""ENTER_BUY"": 928, ""ENTER_SELL"": 1095}",False
rich_policy_medium,0.40,2025-02,4612,1641,0.355811,0.258988,0.260417,0.255624,0.057008,93.55,1.100866,197.69,"{""DO_NOTHING"": 2971, ""ENTER_BUY"": 1152, ""ENTER_SELL"": 489}","{""DO_NOTHING"": 2861, ""ENTER_BUY"": 905, ""ENTER_SELL"": 846}",False
rich_policy_medium,0.40,2025-03,4577,604,0.131964,0.357616,0.362069,0.348485,0.287748,173.8,1.556623,62.94,"{""DO_NOTHING"": 3973, ""ENTER_BUY"": 406, ""ENTER_SELL"": 198}","{""DO_NOTHING"": 2332, ""ENTER_BUY"": 1164, ""ENTER_SELL"": 1081}",False
rich_policy_medium,0.40,2025-04,5188,1828,0.352352,0.386214,0.460648,0.319502,0.175016,319.93,1.288868,118.38,"{""DO_NOTHING"": 3360, ""ENTER_BUY"": 864, ""ENTER_SELL"": 964}","{""DO_NOTHING"": 2083, ""ENTER_BUY"": 1674, ""ENTER_SELL"": 1431}",False
rich_policy_medium,0.40,2025-05,5176,1942,0.375193,0.299691,0.358382,0.252553,-0.020865,-40.52,0.967737,185.84,"{""DO_NOTHING"": 3234, ""ENTER_BUY"": 865, ""ENTER_SELL"": 1077}","{""DO_NOTHING"": 2371, ""ENTER_BUY"": 1562, ""ENTER_SELL"": 1243}",False
rich_policy_medium,0.40,2025-06,4613,793,0.171905,0.282472,0.351852,0.234542,-0.021602,-17.13,0.966051,110.1,"{""DO_NOTHING"": 3820, ""ENTER_BUY"": 324, ""ENTER_SELL"": 469}","{""DO_NOTHING"": 2481, ""ENTER_BUY"": 1207, ""ENTER_SELL"": 925}",False
rich_policy_medium,0.40,2025-07,5235,1486,0.283859,0.347914,0.251586,0.392892,0.234522,348.5,1.437765,85.71,"{""DO_NOTHING"": 3749, ""ENTER_BUY"": 473, ""ENTER_SELL"": 1013}","{""DO_NOTHING"": 2834, ""ENTER_BUY"": 946, ""ENTER_SELL"": 1455}",False
rich_policy_medium,0.40,2025-08,4898,1484,0.302981,0.251348,0.456853,0.219891,-0.062008,-92.02,0.904353,249.54,"{""DO_NOTHING"": 3414, ""ENTER_BUY"": 197, ""ENTER_SELL"": 1287}","{""DO_NOTHING"": 2914, ""ENTER_BUY"": 974, ""ENTER_SELL"": 1010}",False
rich_policy_medium,0.40,2025-09,4901,1135,0.231585,0.315419,0.206897,0.363405,0.191648,217.52,1.36237,135.0,"{""DO_NOTHING"": 3766, ""ENTER_BUY"": 348, ""ENTER_SELL"": 787}","{""DO_NOTHING"": 3081, ""ENTER_BUY"": 863, ""ENTER_SELL"": 957}",False
rich_policy_medium,0.40,2025-10,5429,1483,0.273163,0.306811,0.30742,0.306667,0.299258,443.8,1.649524,86.92,"{""DO_NOTHING"": 3946, ""ENTER_BUY"": 283, ""ENTER_SELL"": 1200}","{""DO_NOTHING"": 3455, ""ENTER_BUY"": 956, ""ENTER_SELL"": 1018}",False
rich_policy_medium,0.40,2025-11,4612,1084,0.235039,0.273985,0.150376,0.291272,0.159197,172.57,1.306846,101.57,"{""DO_NOTHING"": 3528, ""ENTER_BUY"": 133, ""ENTER_SELL"": 951}","{""DO_NOTHING"": 3314, ""ENTER_BUY"": 621, ""ENTER_SELL"": 677}",False
rich_policy_medium,0.40,2025-12,4596,438,0.0953,0.214612,0.416667,0.148485,0.099132,43.42,1.195568,64.13,"{""DO_NOTHING"": 4158, ""ENTER_BUY"": 108, ""ENTER_SELL"": 330}","{""DO_NOTHING"": 3497, ""ENTER_BUY"": 616, ""ENTER_SELL"": 483}",False
rich_policy_medium,0.40,2026-01,4611,1104,0.239427,0.303442,0.247312,0.314815,0.047373,52.3,1.078959,145.87,"{""DO_NOTHING"": 3507, ""ENTER_BUY"": 186, ""ENTER_SELL"": 918}","{""DO_NOTHING"": 2888, ""ENTER_BUY"": 857, ""ENTER_SELL"": 866}",False
rich_policy_medium,0.40,2026-02,4539,1138,0.250716,0.203866,0.161491,0.235115,-0.012223,-13.91,0.977251,94.09,"{""DO_NOTHING"": 3401, ""ENTER_BUY"": 483, ""ENTER_SELL"": 655}","{""DO_NOTHING"": 3177, ""ENTER_BUY"": 581, ""ENTER_SELL"": 781}",False
rich_policy_medium,0.40,2026-03,4866,1565,0.321619,0.336102,0.356164,0.321586,0.195444,305.87,1.346265,80.22,"{""DO_NOTHING"": 3301, ""ENTER_BUY"": 657, ""ENTER_SELL"": 908}","{""DO_NOTHING"": 2382, ""ENTER_BUY"": 1060, ""ENTER_SELL"": 1424}",False
