variant,threshold,quarter,rows,trades,coverage,trade_precision,buy_precision,sell_precision,avg_r,total_r,profit_factor,max_drawdown_r,prediction_distribution,target_distribution,low_sample
rich_policy_medium,0.50,2024Q3,14801,172,0.011621,0.267442,0.190909,0.403226,0.258372,44.44,1.597794,26.31,"{""DO_NOTHING"": 14629, ""ENTER_BUY"": 110, ""ENTER_SELL"": 62}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",False
rich_policy_medium,0.50,2024Q4,14931,795,0.053245,0.295597,0.310734,0.265152,0.157899,125.53,1.298717,60.98,"{""DO_NOTHING"": 14136, ""ENTER_BUY"": 531, ""ENTER_SELL"": 264}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_medium,0.50,2025Q1,14033,436,0.03107,0.284404,0.281955,0.288235,0.009404,4.1,1.015368,62.71,"{""DO_NOTHING"": 13597, ""ENTER_BUY"": 266, ""ENTER_SELL"": 170}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_medium,0.50,2025Q2,14977,593,0.039594,0.347386,0.540856,0.199405,0.060304,35.76,1.094105,134.09,"{""DO_NOTHING"": 14384, ""ENTER_BUY"": 257, ""ENTER_SELL"": 336}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_medium,0.50,2025Q3,15034,724,0.048158,0.334254,0.408805,0.313274,0.173909,125.91,1.309688,72.42,"{""DO_NOTHING"": 14310, ""ENTER_BUY"": 159, ""ENTER_SELL"": 565}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
rich_policy_medium,0.50,2025Q4,14637,363,0.0248,0.374656,0.361111,0.376147,0.449972,163.34,2.108066,38.42,"{""DO_NOTHING"": 14274, ""ENTER_BUY"": 36, ""ENTER_SELL"": 327}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
rich_policy_medium,0.50,2026Q1,14016,766,0.054652,0.365535,0.260163,0.385692,0.237689,182.07,1.438417,80.0,"{""DO_NOTHING"": 13250, ""ENTER_BUY"": 123, ""ENTER_SELL"": 643}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
rich_policy_medium,0.50,2026Q2,2294,113,0.049259,0.20354,,0.20354,-0.201062,-22.72,0.688767,53.89,"{""DO_NOTHING"": 2181, ""ENTER_SELL"": 113}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",False
rich_policy_strict,0.50,2024Q1,14657,165,0.011257,0.212121,0.16,0.234783,-0.120182,-19.83,0.81361,41.15,"{""DO_NOTHING"": 14492, ""ENTER_BUY"": 50, ""ENTER_SELL"": 115}","{""DO_NOTHING"": 10616, ""ENTER_BUY"": 1838, ""ENTER_SELL"": 2203}",False
rich_policy_strict,0.50,2024Q2,14989,126,0.008406,0.412698,0.384615,0.545455,0.798254,100.58,3.537976,10.6,"{""DO_NOTHING"": 14863, ""ENTER_BUY"": 104, ""ENTER_SELL"": 22}","{""DO_NOTHING"": 11119, ""ENTER_BUY"": 1910, ""ENTER_SELL"": 1960}",False
rich_policy_strict,0.50,2024Q3,14801,51,0.003446,0.039216,0.044444,0.0,-0.424314,-21.64,0.357673,32.54,"{""DO_NOTHING"": 14750, ""ENTER_BUY"": 45, ""ENTER_SELL"": 6}","{""DO_NOTHING"": 11126, ""ENTER_BUY"": 1944, ""ENTER_SELL"": 1731}",True
rich_policy_strict,0.50,2024Q4,14931,340,0.022771,0.264706,0.261044,0.274725,0.029265,9.95,1.05068,57.3,"{""DO_NOTHING"": 14591, ""ENTER_BUY"": 249, ""ENTER_SELL"": 91}","{""DO_NOTHING"": 9589, ""ENTER_BUY"": 2456, ""ENTER_SELL"": 2886}",False
rich_policy_strict,0.50,2025Q1,14033,132,0.009406,0.318182,0.240506,0.433962,0.180152,23.78,1.351359,20.81,"{""DO_NOTHING"": 13901, ""ENTER_BUY"": 79, ""ENTER_SELL"": 53}","{""DO_NOTHING"": 8014, ""ENTER_BUY"": 2997, ""ENTER_SELL"": 3022}",False
rich_policy_strict,0.50,2025Q2,14977,353,0.023569,0.433428,0.676647,0.215054,0.312946,110.47,1.557929,59.38,"{""DO_NOTHING"": 14624, ""ENTER_BUY"": 167, ""ENTER_SELL"": 186}","{""DO_NOTHING"": 6935, ""ENTER_BUY"": 4443, ""ENTER_SELL"": 3599}",False
rich_policy_strict,0.50,2025Q3,15034,328,0.021817,0.335366,0.611111,0.231092,0.263628,86.47,1.50464,31.46,"{""DO_NOTHING"": 14706, ""ENTER_BUY"": 90, ""ENTER_SELL"": 238}","{""DO_NOTHING"": 8829, ""ENTER_BUY"": 2783, ""ENTER_SELL"": 3422}",False
rich_policy_strict,0.50,2025Q4,14637,113,0.00772,0.336283,0.0,0.358491,0.472124,53.35,2.270238,18.74,"{""DO_NOTHING"": 14524, ""ENTER_BUY"": 7, ""ENTER_SELL"": 106}","{""DO_NOTHING"": 10266, ""ENTER_BUY"": 2193, ""ENTER_SELL"": 2178}",False
rich_policy_strict,0.50,2026Q1,14016,351,0.025043,0.387464,0.226667,0.431159,0.310541,109.0,1.595921,36.0,"{""DO_NOTHING"": 13665, ""ENTER_BUY"": 75, ""ENTER_SELL"": 276}","{""DO_NOTHING"": 8447, ""ENTER_BUY"": 2498, ""ENTER_SELL"": 3071}",False
rich_policy_strict,0.50,2026Q2,2294,63,0.027463,0.015873,,0.015873,-0.701905,-44.22,0.118245,47.89,"{""DO_NOTHING"": 2231, ""ENTER_SELL"": 63}","{""DO_NOTHING"": 1283, ""ENTER_BUY"": 692, ""ENTER_SELL"": 319}",True
