feature,importance
categorical__regime_london|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_high,0.000100812
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_high,9.9735e-05
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,9.81042e-05
categorical__regime_asia|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,9.74937e-05
categorical__regime_new_york|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,9.34637e-05
categorical__regime_london|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,9.23057e-05
categorical__regime_london|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_low,9.21391e-05
categorical__regime_asia|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,8.75795e-05
categorical__regime_overlap|h4_range|d1_range|align_neutral|atr_normal|d1pos_mid_high,8.70125e-05
categorical__regime_london|h4_range|d1_range|align_neutral|atr_low|d1pos_low,8.35324e-05
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_mid_high,7.88988e-05
categorical__regime_new_york|h4_bullish|d1_bearish|align_neutral|atr_extended|d1pos_low,7.6428e-05
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_high,7.60971e-05
categorical__regime_inactive|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,7.48478e-05
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,7.07895e-05
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_high,7.03291e-05
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,6.82392e-05
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_high,6.13517e-05
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,6.07134e-05
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_normal|d1pos_high,6.04972e-05
categorical__regime_london|h4_bearish|d1_bearish|align_aligned|atr_extended|d1pos_low,6.008e-05
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,5.72724e-05
categorical__regime_new_york|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,5.67134e-05
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,5.52685e-05
categorical__regime_new_york|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_low,5.47864e-05
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_low,5.47042e-05
categorical__regime_overlap|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,5.46014e-05
categorical__regime_overlap|h4_bullish|d1_bullish|align_aligned|atr_extended|d1pos_high,5.45975e-05
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,5.2134e-05
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_low,5.21154e-05
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_high,5.11052e-05
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_low,5.08661e-05
categorical__regime_new_york|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,4.8869e-05
categorical__regime_overlap|h4_bullish|d1_bearish|align_neutral|atr_normal|d1pos_low,4.82994e-05
categorical__regime_asia|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_high,4.7891e-05
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,4.49974e-05
categorical__regime_new_york|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,4.4957e-05
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_normal|d1pos_mid_high,4.41132e-05
categorical__regime_overlap|h4_range|d1_bearish|align_aligned|atr_extended|d1pos_mid_low,4.03879e-05
categorical__regime_london|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,3.95212e-05
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,3.8179e-05
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_low|d1pos_mid_low,3.71021e-05
categorical__regime_new_york|h4_range|d1_range|align_neutral|atr_low|d1pos_low,3.5521e-05
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_high,3.44179e-05
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_high,3.29902e-05
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_mid_high,3.22673e-05
categorical__regime_overlap|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_low,3.19909e-05
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_extended|d1pos_mid_high,3.0359e-05
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_high,2.9185e-05
categorical__regime_inactive|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_mid_low,2.81053e-05
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,2.80574e-05
categorical__regime_inactive|h4_bullish|d1_range|align_neutral|atr_extended|d1pos_mid_high,2.8036e-05
categorical__regime_overlap|h4_bearish|d1_bullish|align_neutral|atr_extended|d1pos_high,2.77428e-05
categorical__regime_inactive|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_mid_high,2.76991e-05
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_normal|d1pos_mid_low,2.4787e-05
categorical__regime_london|h4_bullish|d1_range|align_neutral|atr_normal|d1pos_mid_low,2.28707e-05
categorical__regime_overlap|h4_bearish|d1_range|align_neutral|atr_normal|d1pos_low,2.26204e-05
categorical__regime_new_york|h4_range|d1_bullish|align_aligned|atr_extended|d1pos_low,2.19388e-05
